EB46,GPP_R7/I2S2_RXD/DMIC_DATA1,I,-5867.4,16056.4,PCH GPIOs,
EB44,GPP_R6/I2S2_TXD/DMIC_CLK_A1,I/O,-5217.4,16056.4,PCH GPIOs,
ET53,GPP_R5/HDA_SDI1/I2S2_SFRM/DMIC_DATA0,I,-8919.8,21680.9,PCH GPIOs,
ER53,GPP_R4/HDA_RST#/I2S2_SCLK/DMIC_CLK_A0,I/O,-8919.8,21030.9,PCH GPIOs,
ER59,GPP_R3/HDA_SDI0/I2S0_RXD/HDAPROC_SDI,I/O,-11290,21331.4,PCH GPIOs,
ER57,GPP_R2/HDA_SDO/I2S0_TXD/HDAPROC_SDO,I/O,-10516.9,21211.7,PCH GPIOs,
EP60,GPP_R1/HDA_SYNC/I2S0_SFRM/DMIC_CLK_B1,I/O,-11468.8,20696.9,PCH GPIOs,
ER56,GPP_R0/HDA_BCLK/I2S0_SCLK/DMIC_CLK_B0/HDAPROC_BCLK,I/O,-9843.1,21199.5,PCH GPIOs,
